#,Название товара,Количество,Сумма,Нал.,Б/н,Проч.,Доля в выручке
1,Капучино G 23 350 мл,177,"25200,00","0,00","24090,00","1110,00","11,74 %"
2,Латте G 23 350 мл,60,"8680,00","0,00","8440,00","240,00","4,04 %"
3,Американо зерновой G23 250/350мл,75,"8040,00","0,00","7510,00","530,00","3,75 %"
4,Капучино зерновой G23 250мл,54,"6320,00","0,00","6060,00","260,00","2,95 %"
5,Шоколад молочный G 23 350 мл,40,"5910,00","0,00","5910,00","0,00","2,75 %"
6,Капучино зерновой 150 мл 250,209,"5820,00","990,00","4830,00","0,00","2,71 %"
7,Раф ванильный зерновой G 23 350 мл,31,"5470,00","0,00","5190,00","280,00","2,55 %"
8,Сэндвичи в ассортименте,42,"5310,00","340,00","4970,00","0,00","2,47 %"
9,Латте G23 250мл,34,"3930,00","0,00","3800,00","130,00","1,83 %"
10,Американо зерновой G23 250мл,36,"3930,00","0,00","2630,00","1300,00","1,83 %"
11,Мокачино зерновой G 23 350 мл,27,"3900,00","0,00","3900,00","0,00","1,82 %"
12,Кофе с молоком зерновой G23 250/350мл,28,"3690,00","0,00","3570,00","120,00","1,72 %"
13,Товар 0,46,"3615,00","70,00","3545,00","0,00","1,68 %"
14,Капучино с шоколадом зерновой 150 мл 250,218,"3615,00","860,00","2755,00","0,00","1,68 %"
15,Шоколад G 23 350 мл,25,"3600,00","0,00","3480,00","120,00","1,68 %"
16,Раф ванильный G23 250мл,27,"3500,00","0,00","2720,00","780,00","1,63 %"
17,Мокка ванильный G 23 350 мл,24,"3450,00","0,00","3330,00","120,00","1,61 %"
18,Мокка сливочный G 23 350 мл,22,"3210,00","0,00","3090,00","120,00","1,50 %"
19,Капучино зерновой 150 мл 546,166,"3058,00","739,00","2319,00","0,00","1,43 %"
20,Шоколад молочный 150 мл 250,166,"3010,00","925,00","2085,00","0,00","1,40 %"
21,Флэт Уайт зерновой G23 350мл,21,"2550,00","0,00","2550,00","0,00","1,19 %"
22,Кофе зерновой 150 мл 250,240,"2400,00","980,00","1420,00","0,00","1,12 %"
23,Кофе со сливками зерновой 200 мл 546,47,"2320,00","530,00","1790,00","0,00","1,08 %"
24,Кофе со сливками зерновой 150 мл 546,44,"2195,00","645,00","1550,00","0,00","1,02 %"
25,Шоколад G23 250мл,18,"2170,00","0,00","1910,00","260,00","1,01 %"
26,"Напиток Берн 0,449л",14,"2150,00","150,00","2000,00","0,00","1,00 %"
27,Молочный шоколад G23 250мл,17,"2010,00","0,00","1750,00","260,00","0,94 %"
28,"Газ.вода Добрый 0,5 пэт",21,"1990,00","0,00","1990,00","0,00","0,93 %"
29,Капучино зерновой 200 мл 546,39,"1940,00","120,00","1820,00","0,00","0,90 %"
30,Сливочный Мокка G23 250мл,15,"1870,00","0,00","1480,00","390,00","0,87 %"
31,Ванильный Мокка G23 250мл,14,"1760,00","0,00","1500,00","260,00","0,82 %"
32,Кофе со сливками зерновой 150 мл 250,31,"1600,00","405,00","1195,00","0,00","0,75 %"
33,Латте зерновой 150 мл 250,83,"1570,00","545,00","1025,00","0,00","0,73 %"
34,Эспрессо зерновой 90 мл 546,69,"1494,00","389,00","1105,00","0,00","0,70 %"
35,Кофе с молоком зерновой G23 250мл,14,"1460,00","0,00","1200,00","260,00","0,68 %"
36,Флэт Уайт зерновой G23 250мл,13,"1450,00","0,00","1320,00","130,00","0,68 %"
37,Молочный коктейль клубничный 150 мл 250,138,"1380,00","530,00","850,00","0,00","0,64 %"
38,Батончик Сникерс Супер,16,"1360,00","190,00","1170,00","0,00","0,63 %"
39,"Чай Рич 0,5 л пэт",14,"1330,00","300,00","1030,00","0,00","0,62 %"
40,Капучино с шоколадом зерновой 150 мл 546,85,"1318,00","370,00","948,00","0,00","0,61 %"
41,Батончик Твикс Экстра 82 г,14,"1300,00","100,00","1200,00","0,00","0,61 %"
42,Американо зерновой 150 мл 250,29,"1288,00","360,00","928,00","0,00","0,60 %"
43,Капучино ванильный зерновой 150 мл 546,30,"1236,00","273,00","963,00","0,00","0,58 %"
44,Капучино ванильный со сливками 150 мл 250,23,"1225,00","255,00","970,00","0,00","0,57 %"
45,Молочный коктейль банановый с шоколадом 150 мл 250,115,"1150,00","480,00","670,00","0,00","0,54 %"
46,"Газ.вода Добрый 0,33 жб",18,"1150,00","260,00","890,00","0,00","0,54 %"
47,Американо зерновой 200 мл 546,23,"1145,00","205,00","940,00","0,00","0,53 %"
48,Эспрессо двойной 150 мл 250,23,"1110,00","100,00","1010,00","0,00","0,52 %"
49,Молочный коктейль клубничный с шоколадом 150 мл 250,107,"1070,00","490,00","580,00","0,00","0,50 %"
50,Шоколад двойной 150 мл 250,27,"1060,00","100,00","960,00","0,00","0,49 %"
51,Эспрессо зерновой 90 мл 250,59,"1038,00","359,00","679,00","0,00","0,48 %"
52,Шоколад 150 мл 250,102,"1020,00","370,00","650,00","0,00","0,48 %"
53,Мокачино зерновой G23 250мл,9,"1010,00","0,00","880,00","130,00","0,47 %"
54,Латте с шоколадом зерновой 150 мл 250,59,"1005,00","230,00","775,00","0,00","0,47 %"
55,Драже M&M s с арахисом 45 г,14,"985,00","150,00","835,00","0,00","0,46 %"
56,Мокка ореховый 150 мл 250,27,"985,00","160,00","825,00","0,00","0,46 %"
57,Капучино ореховый зерновой 150 мл 250,17,"945,00","170,00","775,00","0,00","0,44 %"
58,Капучино ореховый зерновой 150 мл 546,20,"933,00","237,00","696,00","0,00","0,43 %"
59,Кофе со сливками растворимый 150 мл 546,26,"910,00","35,00","875,00","0,00","0,42 %"
60,"Напиток Палпи 0,45 л пэт",10,"900,00","0,00","900,00","0,00","0,42 %"
61,Вафли Яшкино мягкие 120г в ассорти,11,"890,00","80,00","810,00","0,00","0,41 %"
62,Эспрессо двойной 155 мл 546,26,"862,00","100,00","762,00","0,00","0,40 %"
63,Молочный коктейль банановый 150 мл 250,86,"860,00","350,00","510,00","0,00","0,40 %"
64,Мокка ванильный 150 мл 250,24,"833,00","253,00","580,00","0,00","0,39 %"
65,Лапша б/п Доширак 90г,11,"830,00","80,00","750,00","0,00","0,39 %"
66,Капучино 300 мл CIMilk,8,"800,00","0,00","800,00","0,00","0,37 %"
67,"Вода Святой источник 0,5 л нгз",11,"800,00","60,00","740,00","0,00","0,37 %"
68,Эспрессо с шоколадом зерновой 150 мл 250,16,"795,00","215,00","580,00","0,00","0,37 %"
69,Кофе с молоком зерновой 150 мл 250,79,"790,00","350,00","440,00","0,00","0,37 %"
70,Капучино ванильный зерновой 200 мл 546,15,"770,00","50,00","720,00","0,00","0,36 %"
71,Латте зерновой 150 мл 546,54,"770,00","240,00","530,00","0,00","0,36 %"
72,Печенье Яшкино 137г,9,"760,00","80,00","680,00","0,00","0,35 %"
73,Напиток Горилла 450мл,5,"750,00","0,00","750,00","0,00","0,35 %"
74,Латте зерновой 200 мл 546,13,"720,00","310,00","410,00","0,00","0,34 %"
75,Латте с шоколадом зерновой 150 мл 546,34,"719,00","120,00","599,00","0,00","0,34 %"
76,Крекер Тук большой,9,"715,00","0,00","715,00","0,00","0,33 %"
77,Капучино Айриш крим зерновой 150 мл 546,13,"705,00","0,00","705,00","0,00","0,33 %"
78,Миндаль жареный Семушка 40г,7,"700,00","200,00","500,00","0,00","0,33 %"
79,Кофе зерновой 150 мл 546,54,"700,00","250,00","450,00","0,00","0,33 %"
80,Американо зерновой 150 мл 546,15,"689,00","135,00","554,00","0,00","0,32 %"
81,Мокка ореховая со сливками 150 мл 546,16,"638,00","70,00","568,00","0,00","0,30 %"
82,Молочный коктейль клубничный 150 мл 546,63,"630,00","230,00","400,00","0,00","0,29 %"
83,Капучино с шоколадом зерновой 200 мл 546,13,"630,00","0,00","630,00","0,00","0,29 %"
84,Эспрессо двойной 200 мл 546,12,"580,00","0,00","580,00","0,00","0,27 %"
85,Батончик Твикс 55 г,7,"560,00","0,00","560,00","0,00","0,26 %"
86,"Сок Рич 0,33",7,"550,00","0,00","550,00","0,00","0,26 %"
87,Шоколад молочный 150 мл 546,46,"534,00","215,00","319,00","0,00","0,25 %"
88,Кофе по-венски зерновой 150 мл 250,51,"510,00","190,00","320,00","0,00","0,24 %"
89,Кофе с молоком зерновой 150 мл 546,51,"510,00","220,00","290,00","0,00","0,24 %"
90,Кофе с шоколадом зерновой 150 мл 250,51,"510,00","170,00","340,00","0,00","0,24 %"
91,Латте SPh 350 мл,4,"500,00","0,00","500,00","0,00","0,23 %"
92,Капучино Айриш крим зерновой 200 мл 546,9,"490,00","110,00","320,00","60,00","0,23 %"
93,Кофе с молоком зерновой 200 мл 546,9,"480,00","0,00","480,00","0,00","0,22 %"
94,Батончик Nut&Go миндальный 34г,8,"480,00","0,00","480,00","0,00","0,22 %"
95,Шоколад двойной 150 мл 546,9,"473,00","0,00","473,00","0,00","0,22 %"
96,Батончик Баунти 55 г,7,"470,00","0,00","470,00","0,00","0,22 %"
97,Шоколад молочный 200 мл 546,8,"440,00","0,00","440,00","0,00","0,21 %"
98,Батончик Сникерс 50г,6,"420,00","0,00","420,00","0,00","0,20 %"
99,"Напиток Берн 0,25л",4,"420,00","200,00","220,00","0,00","0,20 %"
100,"Вода Обуховская 13 0,5 л",6,"420,00","0,00","420,00","0,00","0,20 %"
101,Мокко 150 мл 546,40,"400,00","160,00","240,00","0,00","0,19 %"
102,Смесь орехов с цукатами Сёмушка 50 гр.,4,"400,00","0,00","400,00","0,00","0,19 %"
103,Латте с шоколадом зерновой 200 мл 546,8,"390,00","120,00","270,00","0,00","0,18 %"
104,Кекс Русский бисквит 225 г,5,"390,00","80,00","310,00","0,00","0,18 %"
105,Молочный коктейль клубничный с шоколадом 150 мл 546,38,"380,00","200,00","180,00","0,00","0,18 %"
106,Батончик Обыкновенное чудо в ассорт. 40г,7,"380,00","170,00","210,00","0,00","0,18 %"
107,Мокка ореховая 150 мл 546,8,"372,00","135,00","237,00","0,00","0,17 %"
108,Мокко с шоколадом 150 мл 546,36,"360,00","160,00","200,00","0,00","0,17 %"
109,Капучино SPh 350 мл,4,"360,00","0,00","360,00","0,00","0,17 %"
110,Переплата,6,"360,00","240,00","120,00","0,00","0,17 %"
111,Чай G 23 350 мл,3,"360,00","0,00","360,00","0,00","0,17 %"
112,Вафли Яшкино 200г,4,"355,00","80,00","275,00","0,00","0,17 %"
113,Печенье Яшкино мини-пай голландский 180г,4,"350,00","0,00","350,00","0,00","0,16 %"
114,Шоколад 150 мл 546,35,"350,00","230,00","120,00","0,00","0,16 %"
115,Молочный коктейль банановый с шоколадом 150 мл 546,32,"320,00","210,00","110,00","0,00","0,15 %"
116,Печенье-сэндвич сахарное Tondi 182г в ассорти,4,"320,00","0,00","320,00","0,00","0,15 %"
117,Кофе по-венски зерновой 150 мл 546,25,"315,00","145,00","170,00","0,00","0,15 %"
118,Черный кофе зерновой 200 мл 546,6,"300,00","0,00","300,00","0,00","0,14 %"
119,Шоколад банановый G 23 350 мл,2,"300,00","0,00","300,00","0,00","0,14 %"
120,Эспрессо с шоколадом зерновой 200 мл 546,6,"295,00","0,00","295,00","0,00","0,14 %"
121,"Сок Добрый 0,33л",4,"290,00","70,00","220,00","0,00","0,14 %"
122,Пряники Яшкино мини 300г,3,"290,00","90,00","200,00","0,00","0,14 %"
123,Рулет Домашний 150 гр,4,"290,00","140,00","150,00","0,00","0,14 %"
124,Капучино ореховый зерновой 200 мл 546,5,"270,00","50,00","220,00","0,00","0,13 %"
125,Чипсы LAYS 37 г в ассорт,3,"270,00","0,00","270,00","0,00","0,13 %"
126,Печенье Форсайт,3,"260,00","80,00","180,00","0,00","0,12 %"
127,Американо SPh 350 мл,2,"250,00","0,00","250,00","0,00","0,12 %"
128,Печенье Яшкино STIX 130гр,3,"250,00","0,00","250,00","0,00","0,12 %"
129,Сливочный Мокко 150 мл 546,25,"250,00","140,00","110,00","0,00","0,12 %"
130,Шоколад Альпен Голд 100г,3,"250,00","0,00","250,00","0,00","0,12 %"
131,Шоколад 300 мл CIMilk,2,"240,00","0,00","240,00","0,00","0,11 %"
132,"Вода Святой источник 0,33 л нгаз",4,"240,00","0,00","240,00","0,00","0,11 %"
133,Латте 300 мл CIMilk,2,"240,00","0,00","240,00","0,00","0,11 %"
134,Шоколад двойной 200 мл 546,4,"240,00","0,00","240,00","0,00","0,11 %"
135,Раф банановый зерновой 150 мл 546,24,"240,00","60,00","180,00","0,00","0,11 %"
136,Круассан 7 days 65г,4,"240,00","60,00","180,00","0,00","0,11 %"
137,Молочный коктейль банановый 150 мл 546,22,"220,00","120,00","100,00","0,00","0,10 %"
138,Американо 300 мл CIMilk,2,"200,00","0,00","200,00","0,00","0,09 %"
139,Кешью жареный Семушка 40г,2,"200,00","0,00","200,00","0,00","0,09 %"
140,Батончик глазированный Protein Bar 50г в ассорти,2,"200,00","0,00","200,00","0,00","0,09 %"
141,Смесь орехов с изюмом Сёмушка 50г,2,"200,00","0,00","200,00","0,00","0,09 %"
142,Кофе растворимый 150 мл 546,5,"190,00","0,00","190,00","0,00","0,09 %"
143,Батончик Натс 50 г,3,"190,00","0,00","190,00","0,00","0,09 %"
144,Эспрессо с шоколадом зерновой 150 мл 546,4,"190,00","0,00","190,00","0,00","0,09 %"
145,Мокка сливочный SPh 350 мл,2,"180,00","0,00","180,00","0,00","0,08 %"
146,Капучино карамельный зерновой 200 мл 546,3,"180,00","0,00","180,00","0,00","0,08 %"
147,Батончик Марс 50 г,3,"170,00","0,00","170,00","0,00","0,08 %"
148,Капучино,16,"160,00","160,00","0,00","0,00","0,07 %"
149,Печенье сдобное Кокосовое Яшкино 200г,2,"160,00","160,00","0,00","0,00","0,07 %"
150,Печенье сдобное Курабье Яшкино 180г,2,"160,00","80,00","80,00","0,00","0,07 %"
151,Папайя сушеная Вьетконг 70г,1,"160,00","0,00","160,00","0,00","0,07 %"
152,Капучино ванильный со сливками 200 мл 250,2,"158,00","0,00","158,00","0,00","0,07 %"
153,Пирожное протеиновое Брауни 50г в ассорти Рекс,1,"150,00","0,00","150,00","0,00","0,07 %"
154,Мокка ванильная с шоколадом 200 мл 546,3,"150,00","0,00","150,00","0,00","0,07 %"
155,Молочный коктейль банан G 23 350 мл,1,"150,00","0,00","150,00","0,00","0,07 %"
156,Молочный шоколад 200 мл 546,2,"140,00","0,00","140,00","0,00","0,07 %"
157,Кофе с шоколадом зерновой 150 мл 546,14,"140,00","100,00","40,00","0,00","0,07 %"
158,Смесь орехов с клюквой 50г Сёмушка,2,"140,00","0,00","140,00","0,00","0,07 %"
159,Раф клубничный зерновой 150 мл 546,13,"130,00","40,00","90,00","0,00","0,06 %"
160,Печенье Орео 38 г,3,"120,00","0,00","120,00","0,00","0,06 %"
161,Батончик Смарт формула SayNo кэшью 40г,2,"120,00","0,00","120,00","0,00","0,06 %"
162,Сливочный Айриш крим 150 мл 546,2,"110,00","60,00","50,00","0,00","0,05 %"
163,Кофе с шоколадом зерновой 200 мл 546,2,"110,00","0,00","110,00","0,00","0,05 %"
164,Раф ванильный зерновой SPh 350 мл,1,"100,00","0,00","100,00","0,00","0,05 %"
165,Американо зерновой 250 мл 546,2,"100,00","0,00","100,00","0,00","0,05 %"
166,Пирожное протеиновое Тортик 40г в ассорти Рекс,1,"100,00","0,00","100,00","0,00","0,05 %"
167,Пирожное Чокопай шт,2,"80,00","0,00","80,00","0,00","0,04 %"
168,Кокосовые чипсы СанМартин 40г,1,"80,00","0,00","80,00","0,00","0,04 %"
169,Арахис жареный Семушка 50г,1,"80,00","0,00","80,00","0,00","0,04 %"
170,"Напиток ГринМи 0,33 жб",1,"80,00","0,00","80,00","0,00","0,04 %"
171,Капучино с шоколадом зерновой 250 мл 250,1,"79,00","0,00","79,00","0,00","0,04 %"
172,Мокка ореховый 250 мл 250,1,"79,00","0,00","79,00","0,00","0,04 %"
173,Капучино зерновой 200 мл 250,1,"79,00","0,00","79,00","0,00","0,04 %"
174,Капучино ореховый зерновой 250 мл 250,1,"79,00","0,00","79,00","0,00","0,04 %"
175,Капучино ванильный со сливками 250 мл 250,1,"79,00","0,00","79,00","0,00","0,04 %"
176,Капучино зерновой 250 мл 250,1,"79,00","0,00","79,00","0,00","0,04 %"
177,Кофе со сливками зерновой 200 мл 250,1,"79,00","0,00","79,00","0,00","0,04 %"
178,Мокка ванильная 150 мл 546,2,"78,00","0,00","78,00","0,00","0,04 %"
179,Капучино с шоколадом растворимый 150 мл 546,2,"70,00","0,00","70,00","0,00","0,03 %"
180,Чай 150 мл 546,2,"70,00","0,00","70,00","0,00","0,03 %"
181,"Тоник Рич 0,33л жб",1,"70,00","0,00","70,00","0,00","0,03 %"
182,"Напиток Рич 0,33л жб",1,"70,00","0,00","70,00","0,00","0,03 %"
183,Эспрессо зерновой 150 мл 546,2,"70,00","0,00","70,00","0,00","0,03 %"
184,Мокка ореховая 200 мл 546,1,"60,00","60,00","0,00","0,00","0,03 %"
185,Раф ирландский зерновой 200 мл 546,1,"60,00","0,00","60,00","0,00","0,03 %"
186,Раф карамельный зерновой 200 мл 546,1,"60,00","0,00","60,00","0,00","0,03 %"
187,Сливочный Айриш крим 200 мл 546,1,"60,00","0,00","60,00","0,00","0,03 %"
188,Мокка ванильная 200 мл 546,1,"50,00","0,00","50,00","0,00","0,02 %"
189,Сухарики Кириешки 40г в ассорти,1,"50,00","50,00","0,00","0,00","0,02 %"
190,Раф ореховый зерновой 150 мл 546,1,"50,00","0,00","50,00","0,00","0,02 %"
191,Мокка ванильная со сливками 200 мл 546,1,"45,00","0,00","45,00","0,00","0,02 %"
192,Мокка ореховая со сливками 200 мл 546,1,"45,00","0,00","45,00","0,00","0,02 %"
193,Двойной шоколад 200 мл 546,1,"40,00","0,00","40,00","0,00","0,02 %"
194,Раф клубничный зерновой 200 мл 546,1,"40,00","0,00","40,00","0,00","0,02 %"
195,Мокка ванильная со сливками 150 мл 546,1,"39,00","0,00","39,00","0,00","0,02 %"
196,Мокка Айриш крим 150 мл 546,1,"39,00","0,00","39,00","0,00","0,02 %"
197,Капучино 165 мл SaCr,3,"30,00","0,00","30,00","0,00","0,01 %"
198,Латте ореховый 165 мл SaCr,1,"10,00","10,00","0,00","0,00","0,00 %"
199,Мокачино 165 мл SaCr,1,"10,00","10,00","0,00","0,00","0,00 %"
200,Эспрессо двойной 165 мл SaCr,1,"10,00","10,00","0,00","0,00","0,00 %"
